LATITUDE,LONGITUDE,POST_CODE,POOL_NAME,WEBSITE
53.40346,-2.95404,L7 3HJ,St Anne's Pool,http://www.stannescatholicprimary.com/hire-our-pool/
53.39808,-2.92567,L15 4LE,Liverpool Aquatics Centre,http://www.liverpool.gov.uk
53.40376,-2.96518,L69 7ZN,University Of Liverpool Sports Centre,http://www.liv.ac.uk/sports
53.38708,-2.96899,L8 6QH,Lifestyles Park Road,http://www.liverpool.gov.uk
53.4055,-2.97696,L3 5UL,Spindles Health & Leisure (liverpool),http://www.britanniahotels.com
53.39594,-2.90385,L15 6UZ,King David High School,http://www.kingdavidcampus.schoolbookings.co.uk
53.37901,-2.97117,L3 4EN,Liverpool Fitness & Wellbeing Centre,http://www.nuffieldhealth.com/gyms/liverpool/?utm_source=website&utm_medium=referral&utm_campaign=loveswimming
53.37872,-2.9159,L18 8AG,Sports Direct Fitness (Liverpool),http://www.sportsdirectfitness.com/clubs/liverpool
53.39284,-2.98546,L3 4DG,Liverpool Watersports Centre,http://www.liverpoolwatersports.org.uk/activities/open-water-swimming
53.41026,-2.90351,L13 5UQ,Broadgreen International School,http://www.broadgreeninternationalschool.com
53.38258,-2.90177,L18 3HS,Calderstones School A Specialist Science College,http://www.calderstones.co.uk
53.42544,-2.92343,L13 0BQ,Lifestyles Peter Lloyd,http://liverpool.gov.uk/lifestyles/find-a-centre/peter-lloyd/
53.42417,-2.97751,L5 5PH,Lifestyles Everton Park,http://www.liverpool.gov.uk
53.42482,-2.91029,L12 1LF,St Edward's College Sports Complex,http://www.st-edwards.liverpool.sch.uk
53.40677,-2.99842,L3 1QW,Harbour Health Club Liverpool,http://www.harbourhealthclubliverpool.com/
53.41107,-2.99656,L3 9BD,The Ark Health And Fitness,http://www.radissonblu.com
53.41243,-2.8881,L14 7NZ,Thingwall Hall Swimming Pool,tel:01512207173
53.42214,-2.99897,L3 0AN,The Titanic Hotel,http://www.titanichotelliverpool.com
53.36393,-2.88899,L19 4TL,Springwood Heath Primary School,http://www.springwoodheath.co.uk
53.39322,-3.02483,CH41 6RN,Europa Pools,http://wirralleisure.co.uk/invigor8-centres/europa-leisure-centre/
53.44458,-2.92005,L11 2XY,Lifestyles Ellergreen,http://www.liverpool.gov.uk/lifestyles/find-a-centre/ellergreen/
53.35822,-2.8943,L19 6PE,Lifestyles Garston,http://www.liverpool.gov.uk
53.41487,-3.02221,CH44 6PX,Guinea Gap Leisure Centre,http://www.wirral.gov.uk
53.44722,-2.96611,L4 6RW,Lifestyles Alsop,http://www.liverpool.gov.uk/leisure_and_culture/sports/leisure_centres_and_pools/lifestyles_alsop/index.asp
53.35927,-3.00705,CH63 7LF,The Oval Leisure Centre,http://www.wirral.gov.uk
53.34931,-2.98579,CH62 4UE,Velocity Health & Fitness (Wirral),http://www.village-hotels.co.uk
53.44748,-2.90687,L11 4SG,De La Salle Academy,http://www.de-la-salle.co.uk
53.35614,-2.87228,L24 9GQ,DW Fitness First (Liverpool),http://www.dwfitnessfirst.com/find-a-gym/liverpool/
53.34085,-2.97571,CH62 3PN,DW Fitness First (Bromborough),http://www.dwfitnessfirst.com/find-a-gym/bromborough/
53.43582,-2.86593,L28 1AB,Volair Stockbridge,http://volair.org.uk/centres/stockbridge-village-neighbourhood-centre/
53.34799,-2.88253,L24 8QD,David Lloyd Club (Liverpool Speke),http://www.davidlloyd.co.uk
53.38788,-3.05025,CH43 1TY,Birkenhead High School Academy,http://www.birkenheadhigh.gdst.net
53.45638,-2.99407,L20 5JJ,Bootle Leisure Centre,http://www.sefton.gov.uk/sport-leisure/leisure-centres/bootle-leisure-centre.aspx
53.4148,-2.82504,L36 6EG,Knowsley Leisure And Culture Park,http://volair.org.uk/centres/knowsley-leisure-culture-park/
53.46353,-2.87647,L34 9HA,Leisure Club @ Suites Hotel,tel:01515495444
53.40389,-2.81153,L35 1RZ,Velocity Health & Fitness (Liverpool),http://www.village-hotels.co.uk
53.36365,-2.82202,L26 0TY,Halewood Leisure Centre,http://volair.org.uk/centres/volair-halewood/
53.36496,-3.06633,CH43 3DU,Total Fitness (Prenton),http://www.totalfitness.co.uk/clubs/prenton/
53.34259,-2.84267,L24 0TR,Lifestyles Austin Rawlinson,http://liverpool.gov.uk/lifestyles/find-a-centre/austin-rawlinson/
53.37162,-3.07487,CH49 5LE,Foxfield School,http://www.foxfieldschool.co.uk
53.37929,-3.08284,CH49 8EU,Woodchurch Leisure Centre,http://www.wirral.gov.uk
53.47851,-2.88463,L32 8SA,Kirkby Leisure Centre,http://volair.org.uk/centres/kirkby-leisure-centre/
53.4784,-2.87017,L33 7ET,David Lloyd Club (Liverpool Knowsley),http://www.davidlloyd.co.uk
53.41414,-3.09561,CH46 1PF,Leasowe Leisure Centre,http://wirralleisure.co.uk/invigor8-centres/leasowe-leisure-centre/
53.48974,-2.9568,L30 7PT,Total Fitness (Aintree),http://www.totalfitness.co.uk/clubs/aintree-sefton/
53.48377,-3.02512,L23 0QP,Merchant Taylors' School,http://www.merchanttaylors.com/ian-robinson/
53.31849,-3.0498,CH63 1JF,Thornton Hall Country Health Club,http://www.thorntonhallhealthclub.com
53.48311,-3.04329,L23 6SX,Crosby Leisure Centre,http://www.leisurecentre.com/crosby-leisure-centre
53.50736,-2.9455,L31 7BB,Meadows Leisure Centre,http://www.sefton.gov.uk/sport-leisure/leisure-centres/meadows.aspx
53.28926,-2.89651,CH65 2AL,Waterways Leisure Club,http://www.hiellesmereport.com/facilities/waterways_leisure_club.php
53.28533,-2.96275,CH66 4PS,Woodhey House Hotel,http://www.woodheyhouse-hotel-chester.com
53.3705,-2.75217,WA8 7HF,Chesnut Lodge School,http://www.chesnutlodge.net
53.29734,-3.05402,CH64 9NQ,Neston Recreation Centre,http://www.brioleisure.org/centres/neston-recreation-centre
53.45887,-2.75655,WA10 6RP,Ruskin Health And Fitness Club,http://www.ruskinsthelens.com
53.45517,-2.75,WA10 2LT,Queens Park Health And Fitness,http://www.sthelens.gov.uk
53.36372,-2.73287,WA8 7QH,Kingsway Leisure Centre,http://kingsway.activehalton.co.uk/
53.44995,-2.73679,WA10 1NG,Pyramids Leisure Club,http://www.pyramidleisureclub.com
53.36759,-3.16263,CH48 8AS,Calday Grange Swimming Pool,http://www.caldaypool.org.uk
53.39733,-3.16899,CH47 0LL,Kingsmead School,http://www.kingsmeadschool.com
53.37118,-2.72139,WA8 6LS,DW Fitness First (Widnes),http://www.dwfitnessfirst.com/find-a-gym/widnes/
53.26247,-2.9852,CH66 9PB,Vital Health & Wellbeing (craxton Wood Hotel),http://www.vitalhealthandwellbeing.co.uk
53.26361,-2.89155,CH65 9JN,David Lloyd Club (Cheshire Oaks),http://www.davidlloyd.co.uk/clubs/cheshire-oaks/
53.26361,-2.89155,CH65 9LB,Ellesmere Port Sports Village,http://www.brioleisure.org/centres/ellesmere-port-sports-village
53.34182,-2.72731,WA7 1BY,Runcorn Swimming Pool,http://www.pfpleisure.org
53.37358,-3.18241,CH48 4HX,West Kirby Concourse Leisure Centre,http://www.wirral.gov.uk
53.45261,-2.71775,WA9 1BQ,Parr Swimming Pool And Fitness Centre,http://goactive.sthelens.gov.uk
53.44923,-2.70486,WA9 1TB,Lansbury Bridge School And Sports College,http://www.lansburybridge.st-helens.sch.uk
53.54741,-3.05413,L37 6BR,Sports Direct Fitness (Formby),http://www.sportsdirectfitness.com
53.31484,-2.69996,WA7 3HB,Beechwood Community Centre,http://www.beechwoodcentre.co.uk/
53.55989,-2.87338,L39 4QP,Edge Hill Sport,http://www.edgehill.ac.uk/edgehillsport/swimming/
53.40017,-2.66094,WA5 3AA,Great Sankey Leisure Centre,http://livewirewarrington.co.uk/leisure/
53.28678,-2.72545,WA6 6HH,Best Western Forest Hills Hotel & Leisure Club,http://www.foresthillshotel.com
53.38664,-2.65598,WA5 2EY,Penketh Parish Council Pool & Community Centre,http://www.penkethparishcouncil.co.uk/simming_pool.html
53.31164,-2.69409,WA7 3HA,You Fit Runcorn,http://youfitclubs.co.uk/club/runcorn/
53.55552,-3.06249,L37 4AB,Formby Pool,http://www.formbypool.co.uk
53.56778,-2.89006,L39 3BY,Park Pool,https://www.westlancsleisure.com/park-pool/?utm_source=website&utm_medium=referral&utm_campaign=loveswimming
53.2199,-2.92466,CH1 6NE,Crabwall Manor Spa & Leisure,http://www.akkeronhotels.com
53.32026,-2.67082,WA7 6EP,Brookvale Recreation Centre,http://www.dcleisurecentres.co.uk
53.21684,-2.91821,CH1 6NN,Mollington Health & Leisure Club,http://www.brook-hotels.co.uk
53.5505,-2.77539,WN8 6LT,Nye Bevan Pool,https://www.westlancsleisure.com/nye-bevan-pool/?utm_source=website&utm_medium=referral&utm_campaign=loveswimming
53.244526,-2.772846,WA6 0PE,Manley Mere,http://www.manleymere.co.uk/swimming/
53.55358,-2.77539,WN8 6LU,Bannatyne Health Club (Skelmersdale),http://www.bannatyne.co.uk/health-club/skelmersdale/
53.25014,-3.13596,CH6 5ER,The Jade Jones Pavilion,tel:01352704301
53.38767,-2.6249,WA5 1HH,David Lloyd Club (Warrington),http://www.davidlloyd.co.uk/clubs/warrington
53.33055,-2.64198,WA4 4BB,Spindles Health & Leisure (Warrington),http://www.britanniahotels.com
53.58874,-2.90463,L40 8HB,Hurlston Hall Golf And Country Club,http://www.hurlstonhall.co.uk
53.58131,-3.04131,L37 0AB,Formby Hall Golf Resort And Spa,http://www.formbyhallgolfclub.co.uk
53.21363,-3.04814,CH5 4HA,Connah's Quay Swimming Pool,http://www.flintshire.gov.uk
53.47294,-2.63772,WA11 9SG,Spa Naturel (Mercure Haydock Hotel & Spa),http://www.spanaturelfitness.com/spa/haydock-hotel
53.20637,-2.85433,CH2 3PD,The Club And Spa Chester,http://www.theclubandspachester.co.uk
53.46002,-2.6257,WA12 0AG,Selwyn Jones Sports Centre,http://www.sthelens.gov.uk
53.20005,-2.89406,CH2 1AQ,Total Fitness (Chester),http://www.totalfitness.co.uk/clubs/chester/
53.47769,-2.63467,WA12 0JG,You Fit Haydock,http://youfitclubs.co.uk/club/haydock/
53.19865,-2.89806,CH1 4BJ,University Of Chester (chester Campus),http://www.chester.ac.uk
53.49362,-2.64498,WN4 9TP,Ashton Leisure Centre,http://www.inspiringhealthylifestyles.org/wigan/leisure-centres/ashton/
53.19606,-2.891,CH2 2AU,Northgate Arena,http://www.brioleisure.org/centres/northgate-arena
53.19387,-2.88429,CH1 3NF,Mill Hotel Health Club,http://www.millhotel.com
53.38318,-2.59547,WA1 1QA,Velocity Health & Fitness (Warrington),http://www.village-hotels.co.uk
53.27296,-3.22335,CH8 7TQ,Holywell Leisure Centre,http://www.flintshire.gov.uk
53.19035,-2.89454,CH1 2BD,Club Moativation (chester),http://www.clubmoativation.co.uk
53.19089,-2.8842,CH1 1QP,Chester City Baths,http://www.chesterswimming.talktalk.net
53.38796,-2.58949,WA1 2AS,DW Fitness First (Warrington),http://www.dwfitnessfirst.com/find-a-gym/warrington/
53.40494,-2.58796,WA2 8HE,Orford Jubilee Neighbourhood Hub,http://livewirewarrington.co.uk/leisure/gym/280-orford-jubilee-neighbourhood-hub-fitness-suite-opening-times
53.51726,-2.64802,WN3 6XD,Total Fitness (Wigan),http://www.totalfitness.co.uk/clubs/wigan/
53.19037,-3.05276,CH5 3YB,Village Leisure Club (Chester St David's),http://www.village-fit.com
53.18512,-2.8482,CH3 5QL,Feel Good Health Club (mercure Chester Abbots Well Hotel),http://www.mercurechester.co.uk/health-club
53.36373,-2.57513,WA4 3AE,Broomfields Leisure Centre,http://livewirewarrington.co.uk/leisure/
53.1842,-2.83683,CH3 7AS,Christleton Sports Centre,tel:01244336664
53.17635,-2.89526,CH4 7QP,Chester Fitness & Wellbeing Centre,http://www.nuffieldhealth.com/gyms/chester/?utm_source=website&utm_medium=referral&utm_campaign=loveswimming
53.54952,-2.65843,WN5 0UN,DW Fitness First (Wigan),http://www.dwfitnessfirst.com/find-a-gym/wigan/
53.33989,-2.57098,WA4 4NS,The Park Royal,http://www.qhotels.co.uk
53.16785,-2.89995,CH4 7QL,The King's School,http://www.kingschester.co.uk
53.17277,-2.82953,CH3 6AD,Rowton Hall Health Club,http://www.rowtonhall.co.uk
53.54473,-2.62928,WN1 1NJ,Wigan Life Centre,http://www.inspiringhealthylifestyles.org/wigan/leisure-centres/wigan-life-centre/
53.15806,-2.91098,CH4 9DL,You Fit Chester,http://youfitclubs.co.uk/club/chester/
53.17188,-3.08314,CH7 3HQ,Buckley Leisure Centre,tel:01244546458
53.16183,-2.8621,CH3 6EA,Old Hall Country Club & Spa,http://www.oldhallcountryclub.com
53.47251,-2.55589,WA3 2AN,Gymetc. (lowton),http://www.gymetc.co.uk
53.59539,-2.7062,WN6 9PB,Wrightington Hotel & Country Club,http://www.wrightingtonhotel.co.uk
53.40017,-2.53558,WA1 4PN,Woolston Neighbourhood Hub,http://livewirewarrington.co.uk/leisure/our-locations
53.58909,-2.68518,WN6 0SR,Spindles Health & Leisure (wigan),http://www.britanniahotels.com
53.64546,-3.02094,PR8 1RX,Dunes Splash World,http://www.sefton.gov.uk/sport-leisure/leisure-centres/dunes-splash-world.aspx
53.64724,-3.01009,PR8 1RB,Royal Clifton Health Club,http://www.royalclifton.co.uk
53.64775,-3.00774,PR8 1NZ,Spindles Health & Leisure (southport),http://www.britanniahotels.com
53.65085,-3.00607,PR9 0DS,Victoria Health & Leisure Club,http://www.victorialeisure.co.uk
53.65408,-3.01146,PR8 1SQ,DW Fitness First (Southport),http://www.dwfitnessfirst.com/find-a-gym/southport/
53.26001,-2.57473,CW8 3HY,Weaverham Community Swimming Pool,http://www.fineswim.co.uk
53.48987,-2.53083,WN7 4JY,Leigh Leisure Centre,http://www.inspiringhealthylifestyles.org/wigan/leisure-centres/leigh/
53.53418,-2.56457,WN2 3QN,Hindley Pool and Leisure Centre,http://www.inspiringhealthylifestyles.org/wigan/leisure-centres/hindley/
53.16039,-3.13797,CH7 1HT,Mold Sports Centre,tel:01352756117
53.13077,-2.92922,CH4 9DG,Spa By Kasia,http://www.spabykasia.co.uk
53.49953,-2.5278,WN7 5SJ,DW Fitness First (Leigh),http://www.dwfitnessfirst.com/find-a-gym/leigh/
53.59255,-2.63487,WN1 2XN,Vital Health & Wellbeing (Kilhey Court),http://www.macdonaldhotels.co.uk
53.527,-2.54785,WN2 4HD,Body Image Fitness Centre (wigan),#
53.66794,-2.90429,PR9 8DF,Riverside Holiday Park,#
53.67377,-2.9625,PR9 9YF,Marshside Health Club And Swims'cool',http://www.facebook.com/swimscool
53.48081,-2.50114,WN7 3XQ,The Escape Zone (leigh),http://www.escape-zone.co.uk
53.11859,-2.94274,LL12 0AY,The Spa At Llyndir Hall,http://www.feathers.uk.com/llyndir
53.63466,-2.69495,PR7 5LP,Park Hall Leisure Club,http://www.lavenderhotels.co.uk
53.51655,-2.50866,M46 0PJ,Howe Bridge Leisure Centre,http://www.howebridge.org/
53.34188,-3.41349,LL19 7EY,Nova Centre,http://www.prestatynnova.co.uk
53.37861,-2.45936,WA13 0RB,Lymm Leisure Centre,http://www.lymmhigh.org.uk
53.57746,-2.56184,BL6 5RU,Feel Good Health Club (Mercure Bolton Georgian House Hotel),http://www.mercurebolton.co.uk/health-club
53.16145,-2.65708,CW6 0DJ,Vital Health & Wellbeing (portal Hotel - Golf And Spa),http://www.macdonaldhotels.co.uk/theportal/leisure/index.htm
53.26093,-2.50912,CW9 5QJ,Northwich Memorial Court,http://www.brioleisure.org
53.68452,-2.83118,PR4 6AQ,Tarleton Academy,http://www.tarletonacademy.org
53.25,-2.51549,CW9 8AF,Sir John Deane's College,http://www.sjd.ac.uk
53.54863,-2.51709,BL5 3BZ,Westhoughton Community Leisure Centre,https://www.boltonleisure.com/westhoughton-community-leisure-centre/?utm_source=website&utm_medium=referral&utm_campaign=loveswimming
53.51533,-2.47325,M29 8EG,The Pellican Centre,http://www.pelicantyldesley.co.uk
53.57987,-2.53445,BL6 6SF,The Bolton Whites Hotel,http://www.whiteshotel.co.uk
53.4148,-2.42714,M31 4ES,Partington Sports Village,http://traffordleisure.co.uk/
53.59784,-2.54278,BL6 5PY,Horwich Leisure Centre,https://www.boltonleisure.com/horwich-leisure-centre/?utm_source=website&utm_medium=referral&utm_campaign=loveswimming
53.44405,-2.42094,M44 6BR,Irlam And Cadishead Leisure Centre,http://www.salfordcommunityleisure.co.uk/sport/locations/irlam-and-cadishead-leisure-centre
53.65945,-2.62899,PR7 1EX,All Seasons Leisure Centre,https://chorley.gov.uk/leisurecentres
53.18907,-2.52822,CW7 1AD,Winsford Lifestyle Centre,http://www.brioleisure.org
53.07624,-3.0266,LL11 4HG,Gwyn Evans Leisure & Activity Centre,http://www.freedom-leisure.co.uk/centres/gwyn-evans-leisure-and-activity-centre/?utm_source=website&utm_medium=referral&utm_campaign=loveswimming
53.31998,-3.47534,LL18 4BY,Rhyl Leisure Centre,http://www.denbighshireleisure.co.uk
53.69047,-2.69983,PR25 2EX,Leyland Leisure Centre,http://www.southribbleleisure.com/leyland
